tripinfo_arrival;tripinfo_waitSteps;tripinfo_vType;tripinfo_depart;tripinfo_routeLength;tripinfo_vaporized;tripinfo_duration;tripinfo_arrivalSpeed;tripinfo_devices;tripinfo_departPos;tripinfo_departDelay;tripinfo_timeLoss;tripinfo_departLane;tripinfo_departSpeed;tripinfo_arrivalPos;tripinfo_rerouteNo;tripinfo_id;tripinfo_arrivalLane;personinfo_depart;personinfo_id;stop_arrival;walk_arrival;ride_arrival;ride_depart
1208.00;0;passenger;884.00;6372.53;;324.00;15.66;tripinfo_veh1342 routing_veh1342;5.10;-0.63;31.88;119447023#0_1;0.00;63.28;1;veh1342;33175464#4_0;;;;;;
1209.00;65;passenger;984.00;911.03;;225.00;10.56;tripinfo_veh1493 routing_veh1493;5.10;-0.16;120.78;182015534#1_1;0.00;10.07;1;veh1493;224716861#3_1;;;;;;
1209.00;0;passenger;1020.00;1609.81;;189.00;10.38;tripinfo_veh1548 routing_veh1548;1.61;-0.42;21.84;181961194_1;0.00;78.27;1;veh1548;182592122#0_1;;;;;;
1209.00;90;passenger;635.00;4787.04;;574.00;12.72;tripinfo_veh964 routing_veh964;5.10;-0.45;193.99;30533953#3_1;0.00;86.98;1;veh964;266666363_1;;;;;;
1209.00;10;passenger;937.00;2711.20;;272.00;15.62;tripinfo_veh1422 routing_veh1422;5.10;-0.36;51.60;30418156_1;0.00;116.83;1;veh1422;169051254#1_0;;;;;;
1210.00;34;passenger;993.00;1169.59;;217.00;10.52;tripinfo_veh1507 routing_veh1507;5.10;-0.39;90.57;-194799780#3_1;0.00;45.69;1;veh1507;37394170_1;;;;;;
1210.00;50;passenger;661.00;4460.54;;549.00;10.43;tripinfo_veh1002 routing_veh1002;5.10;0.50;142.42;290617321#0_1;0.00;385.59;1;veh1002;31538730#2_1;;;;;;
1211.00;10;passenger;1049.00;1446.03;;162.00;10.75;tripinfo_veh1592 routing_veh1592;5.10;-0.42;36.99;30534013#3_1;0.00;0.20;1;veh1592;169051260_1;;;;;;
1211.00;0;passenger;1094.00;1130.03;;117.00;13.44;tripinfo_veh1661 routing_veh1661;5.10;-0.91;18.08;324041277_1;0.00;111.71;1;veh1661;-205013607#2_1;;;;;;
1212.00;58;passenger;741.00;4531.54;;471.00;13.33;tripinfo_veh1125 routing_veh1125;5.10;-0.58;135.08;190430258_1;0.00;6.41;1;veh1125;38923503#1_1;;;;;;
1213.00;88;passenger;671.00;4674.68;;542.00;10.33;tripinfo_veh1019 routing_veh1019;5.10;-0.71;184.65;-169017784#3_1;0.00;8.81;1;veh1019;30418072#6_1;;;;;;
1213.00;0;passenger;1008.00;2448.13;;205.00;10.46;tripinfo_veh1530 routing_veh1530;5.10;-0.55;28.01;-324751770#2_1;0.00;59.45;1;veh1530;-180762426_1;;;;;;
1213.00;0;passenger;986.00;1792.05;;227.00;1.69;tripinfo_veh1496 routing_veh1496;5.10;-0.14;26.18;29062008#8_1;0.00;48.46;1;veh1496;265745121#2_0;;;;;;
1213.00;0;passenger;903.00;2961.91;;310.00;9.06;tripinfo_veh1371 routing_veh1371;5.10;-0.74;47.61;-37376903_0;0.00;1.53;1;veh1371;175793384#2_1;;;;;;
1214.00;8;passenger;963.00;1768.36;;251.00;10.51;tripinfo_veh1461 routing_veh1461;5.10;-0.07;64.67;30417814#1_1;0.00;22.78;1;veh1461;37180981#0_1;;;;;;
1214.00;6;passenger;1032.00;2262.12;;182.00;12.93;tripinfo_veh1566 routing_veh1566;5.10;-0.28;30.20;194799743#0_1;0.00;78.61;1;veh1566;205013613#1_0;;;;;;
1215.00;54;passenger;845.00;2071.97;;370.00;9.74;tripinfo_veh1283 routing_veh1283;5.10;-0.73;148.81;177308054#1_1;0.00;0.20;1;veh1283;325001080_1;;;;;;
1217.00;62;passenger;926.00;1534.12;;291.00;10.31;tripinfo_veh1405 routing_veh1405;5.10;-0.15;119.16;169015057#1_1;0.00;45.17;1;veh1405;30416961#7_1;;;;;;
1219.00;66;passenger;772.00;4785.65;;447.00;9.42;tripinfo_veh1172 routing_veh1172;5.10;-0.56;110.97;-37347752_1;0.00;13.99;1;veh1172;279550956_1;;;;;;
1219.00;0;passenger;816.00;6814.55;;403.00;27.44;tripinfo_veh1239 routing_veh1239;5.10;-0.73;41.25;-325001081_1;0.00;2836.29;1;veh1239;33128564#3_0;;;;;;
1220.00;26;passenger;905.00;2128.31;;315.00;10.27;tripinfo_veh1373 routing_veh1373;5.10;-0.06;72.42;37355471#0_1;0.00;9.81;1;veh1373;-180878328#1_1;;;;;;
1221.00;32;passenger;972.00;1608.70;;249.00;4.09;tripinfo_veh1476 routing_veh1476;5.10;-0.96;74.22;30663332_1;0.00;0.96;1;veh1476;-304384067#1_1;;;;;;
1221.00;8;passenger;936.00;2342.92;;285.00;10.18;tripinfo_veh1421 routing_veh1421;5.10;-0.70;47.01;33128045#2_1;0.00;78.67;1;veh1421;175999108#2_1;;;;;;
1221.00;38;passenger;984.00;1249.78;;237.00;2.06;tripinfo_veh1494 routing_veh1494;5.10;-0.82;90.05;237095113#1_1;0.00;23.41;1;veh1494;37355824_0;;;;;;
1222.00;73;passenger;681.00;4947.85;;541.00;10.44;tripinfo_veh1034 routing_veh1034;5.10;-0.60;148.04;-250563620#1_1;0.00;111.31;1;veh1034;-175999108#1_1;;;;;;
1224.00;3;passenger;943.00;3007.16;;281.00;10.46;tripinfo_veh1432 routing_veh1432;5.10;-0.95;57.74;171698588#4_1;0.00;53.88;1;veh1432;4526354#7_1;;;;;;
1225.00;50;passenger;808.00;3787.10;;417.00;11.01;tripinfo_veh1226 routing_veh1226;5.10;-0.16;118.36;181961188#8_1;0.00;17.38;1;veh1226;37503196#0_1;;;;;;
1225.00;79;passenger;777.00;3905.96;;448.00;12.78;tripinfo_veh1180 routing_veh1180;5.10;-0.84;155.87;37180457_1;0.00;183.82;1;veh1180;326910419#0_1;;;;;;
1226.00;0;passenger;959.00;2317.95;;267.00;9.81;tripinfo_veh1455 routing_veh1455;5.10;-0.11;36.90;37356413_1;0.00;120.05;1;veh1455;101940018_1;;;;;;
1228.00;16;passenger;975.00;1770.37;;253.00;9.92;tripinfo_veh1480 routing_veh1480;5.10;-0.59;62.63;30167007_1;0.00;47.09;1;veh1480;37351132#1_1;;;;;;
1228.00;5;passenger;1029.00;1950.04;;199.00;10.52;tripinfo_veh1562 routing_veh1562;5.10;-0.65;46.15;33175463_0;0.00;83.80;1;veh1562;30564973#1_1;;;;;;
1229.00;23;truck;1059.00;1079.66;;170.00;8.96;tripinfo_truck134 routing_truck134;7.20;-0.97;53.89;32761348#3_1;0.00;16.33;1;truck134;37383981#1_1;;;;;;
1230.00;0;passenger;1125.00;958.34;;105.00;9.88;tripinfo_veh1708 routing_veh1708;5.10;-0.89;10.87;324751741#3_1;0.00;203.19;1;veh1708;-324751736_1;;;;;;
1230.00;18;passenger;831.00;3261.79;;399.00;2.72;tripinfo_veh1262 routing_veh1262;5.10;-0.89;129.28;38060288#1_1;0.00;23.93;1;veh1262;-37180732#1_0;;;;;;
1231.00;41;passenger;890.00;4425.30;;341.00;13.76;tripinfo_veh1351 routing_veh1351;5.10;-0.56;92.69;-279550956_1;0.00;4.54;1;veh1351;176910658_1;;;;;;
1232.00;27;passenger;756.00;5825.80;;476.00;12.76;tripinfo_veh1147 routing_veh1147;5.10;-0.08;80.23;177308083_1;0.00;13.99;1;veh1147;279550956_1;;;;;;
1232.00;0;passenger;1102.00;1008.66;;130.00;9.97;tripinfo_veh1673 routing_veh1673;5.10;-0.82;21.94;324996450#0_1;0.00;52.88;1;veh1673;30533407#0_1;;;;;;
1232.00;0;passenger;817.00;3651.49;;415.00;1.60;tripinfo_veh1240 routing_veh1240;5.10;-0.39;97.61;324985722#1_1;0.00;23.62;1;veh1240;-37180733#1_0;;;;;;
1232.00;79;passenger;864.00;4000.75;;368.00;9.58;tripinfo_veh1312 routing_veh1312;5.10;-0.85;117.23;250563619#1_1;0.00;0.20;1;veh1312;177308114#0_1;;;;;;
1234.00;45;passenger;796.00;5647.93;;438.00;13.18;tripinfo_veh1209 routing_veh1209;5.10;-0.95;85.30;238543015_1;0.00;1.22;1;veh1209;324043267_1;;;;;;
1235.00;51;passenger;1007.00;1023.30;;228.00;10.78;tripinfo_veh1528 routing_veh1528;5.10;-0.23;113.49;175999143#0_1;0.00;43.48;1;veh1528;37180726#3_1;;;;;;
1237.00;52;truck;792.00;4129.65;;445.00;13.35;tripinfo_truck100 routing_truck100;7.20;0.98;139.37;-37180727#5_1;0.00;5.68;1;truck100;38923311#6_1;;;;;;
1237.00;11;passenger;936.00;2290.60;;301.00;10.73;tripinfo_veh1420 routing_veh1420;5.10;-0.04;54.29;315472690_1;0.00;21.39;1;veh1420;38060281#6_1;;;;;;
1238.00;106;passenger;749.00;4601.71;;489.00;12.60;tripinfo_veh1137 routing_veh1137;5.10;-0.49;182.96;30417206#2_1;0.00;191.87;1;veh1137;38923236#0_1;;;;;;
1239.00;54;passenger;1025.00;895.19;;214.00;10.14;tripinfo_veh1545 routing_veh1545;5.10;6.56;113.38;175790472#10_1;0.00;35.45;1;veh1545;37174492#5_1;;;;;;
1239.00;6;passenger;952.00;2001.69;;287.00;11.00;tripinfo_veh1445 routing_veh1445;5.10;-0.52;61.84;30993606#3_1;0.00;46.93;1;veh1445;146634175#1_1;;;;;;
1239.00;16;passenger;942.00;3200.23;;297.00;10.51;tripinfo_veh1430 routing_veh1430;5.10;-0.63;68.32;30417705#0_1;0.00;0.90;1;veh1430;38060299_1;;;;;;
1240.00;66;passenger;864.00;3499.19;;376.00;10.90;tripinfo_veh1311 routing_veh1311;5.10;-0.19;126.72;38062736_1;0.00;4.90;1;veh1311;-266666376_1;;;;;;
1240.00;32;passenger;887.00;3775.53;;353.00;10.02;tripinfo_veh1346 routing_veh1346;5.10;-0.26;102.22;38923503#5_1;0.00;127.89;1;veh1346;175790472#6_1;;;;;;
1241.00;71;passenger;800.00;2975.29;;441.00;10.38;tripinfo_veh1214 routing_veh1214;5.10;-0.25;119.79;177338963#1_1;0.00;51.69;1;veh1214;30533523#1_1;;;;;;
1242.00;1;passenger;1070.00;1132.42;;172.00;10.34;tripinfo_veh1624 routing_veh1624;5.10;-0.52;41.51;182007935_1;0.00;31.63;1;veh1624;30418004#2_1;;;;;;
1242.00;27;passenger;1011.00;1324.40;;231.00;10.16;tripinfo_veh1534 routing_veh1534;5.10;-0.19;72.81;-37180740#0_1;0.00;49.69;1;veh1534;37394816#7_1;;;;;;
1242.00;53;passenger;955.00;1732.44;;287.00;13.10;tripinfo_veh1449 routing_veh1449;5.10;-0.16;109.54;-37355824_0;0.00;293.10;1;veh1449;194799786#2_1;;;;;;
1244.00;0;passenger;1096.00;1155.57;;148.00;10.17;tripinfo_veh1663 routing_veh1663;5.10;-0.22;21.43;190430258_1;0.00;13.75;1;veh1663;30533953#2_1;;;;;;
1244.00;34;passenger;703.00;5305.16;;541.00;10.78;tripinfo_veh1067 routing_veh1067;5.10;-0.35;116.73;-324041273_1;0.00;94.92;1;veh1067;-159554254#0_1;;;;;;
1244.00;125;passenger;724.00;3957.30;;520.00;10.80;tripinfo_veh1099 routing_veh1099;5.10;-0.44;197.97;-324317862#8_1;0.00;3.37;1;veh1099;304384082#8_1;;;;;;
1244.00;0;passenger;928.00;2951.16;;316.00;10.88;tripinfo_veh1409 routing_veh1409;5.10;-0.79;38.23;37180730#0_1;0.00;1.61;1;veh1409;181961194_1;;;;;;
1248.00;0;passenger;1135.00;843.74;;113.00;12.90;tripinfo_veh1723 routing_veh1723;5.10;-0.78;24.56;290618570#1_1;0.00;31.69;1;veh1723;205013604#3_1;;;;;;
1248.00;62;passenger;870.00;3606.00;;378.00;8.81;tripinfo_veh1320 routing_veh1320;5.10;-0.12;122.59;324991231_1;0.00;9.50;1;veh1320;176910631#1_1;;;;;;
1249.00;10;passenger;1057.00;1361.94;;192.00;4.50;tripinfo_veh1605 routing_veh1605;5.10;-0.99;49.23;315472690_1;0.00;1.48;1;veh1605;182175776_1;;;;;;
1249.00;33;passenger;1067.00;1066.91;;182.00;12.97;tripinfo_veh1620 routing_veh1620;5.10;-0.88;75.35;30166961#6_1;0.00;72.50;1;veh1620;-194799786#0_1;;;;;;
1249.00;5;passenger;872.00;3120.21;;377.00;10.84;tripinfo_veh1324 routing_veh1324;5.10;-0.76;103.81;38060331_1;0.00;67.17;1;veh1324;-146634175#0_1;;;;;;
1250.00;123;passenger;725.00;4276.98;;525.00;10.91;tripinfo_veh1101 routing_veh1101;5.10;-0.76;207.82;30979908#1_1;0.00;26.00;1;veh1101;30418072#1_1;;;;;;
1251.00;2;passenger;1009.00;1913.02;;242.00;11.08;tripinfo_veh1532 routing_veh1532;5.10;-0.87;36.88;-37720475_1;0.00;25.32;1;veh1532;37352070#2_1;;;;;;
1251.00;61;passenger;843.00;3600.45;;408.00;13.83;tripinfo_veh1280 routing_veh1280;5.10;-0.76;138.38;37180733#2_0;0.00;46.50;1;veh1280;-205013604#4_1;;;;;;
1253.00;81;passenger;762.00;4576.44;;491.00;7.43;tripinfo_veh1157 routing_veh1157;5.10;-0.68;153.40;-325001081_1;0.00;6.69;1;veh1157;205013604#0_1;;;;;;
1253.00;75;passenger;901.00;2651.95;;352.00;9.89;tripinfo_veh1367 routing_veh1367;5.10;-0.11;117.52;-194799786#2_1;0.00;67.80;1;veh1367;29019892#4_1;;;;;;
1255.00;2;passenger;868.00;7985.81;;387.00;26.49;tripinfo_veh1318 routing_veh1318;5.10;-0.81;31.79;29019892#3_1;0.00;2836.29;1;veh1318;33128564#3_0;;;;;;
1255.00;2;passenger;1134.00;719.81;;121.00;9.63;tripinfo_veh1721 routing_veh1721;0.20;-0.46;35.39;-324985148_1;0.00;0.21;1;veh1721;205013611#0_1;;;;;;
1256.00;81;passenger;719.00;4476.59;;537.00;10.14;tripinfo_veh1092 routing_veh1092;5.10;-0.83;205.62;177308073_1;0.00;6.24;1;veh1092;38060335#0_1;;;;;;
1256.00;46;passenger;865.00;3592.08;;391.00;10.27;tripinfo_veh1313 routing_veh1313;5.10;-0.51;116.48;37180732#0_0;0.00;6.27;1;veh1313;182007935_1;;;;;;
1257.00;20;passenger;970.00;2149.46;;287.00;10.86;tripinfo_veh1472 routing_veh1472;5.10;-0.32;59.91;181961188#0_1;0.00;38.15;1;veh1472;268556970#2_1;;;;;;
1258.00;102;passenger;732.00;3238.76;;526.00;9.83;tripinfo_veh1111 routing_veh1111;5.10;-0.35;239.48;38044985#5_1;0.00;5.28;1;veh1111;324751748#5_1;;;;;;
1259.00;0;passenger;1109.00;1484.82;;150.00;9.41;tripinfo_veh1683 routing_veh1683;5.10;-0.41;17.04;37343416_1;0.00;4.08;1;veh1683;-266666424#1_1;;;;;;
1260.00;0;passenger;1042.00;1983.78;;218.00;9.88;tripinfo_veh1582 routing_veh1582;5.10;-0.83;53.37;176910667#1_2;0.00;27.46;1;veh1582;37342226#4_1;;;;;;
1262.00;39;passenger;766.00;5365.29;;496.00;12.80;tripinfo_veh1163 routing_veh1163;5.10;-0.63;117.07;-250563617#2_1;0.00;0.29;1;veh1163;184165533#2_1;;;;;;
1262.00;63;passenger;965.00;3060.82;;297.00;10.95;tripinfo_veh1464 routing_veh1464;5.10;-0.05;105.72;30598985#6_1;0.00;61.25;1;veh1464;30564973#2_1;;;;;;
1263.00;19;passenger;894.00;4190.50;;369.00;10.93;tripinfo_veh1357 routing_veh1357;5.10;-0.51;73.81;-326910419#0_1;0.00;21.37;1;veh1357;-176908068#3_1;;;;;;
1263.00;0;truck;1012.00;1853.08;;251.00;10.76;tripinfo_truck128 routing_truck128;7.20;-0.51;51.67;37394817#4_1;0.00;84.60;1;truck128;30418000#0_1;;;;;;
1264.00;0;passenger;1101.00;1299.84;;163.00;10.16;tripinfo_veh1671 routing_veh1671;1.53;-0.50;25.32;175793384#2_1;0.00;120.52;1;veh1671;181737755_1;;;;;;
1265.00;59;passenger;797.00;4484.40;;468.00;13.28;tripinfo_veh1210 routing_veh1210;5.10;-0.61;132.93;180878324_1;0.00;80.35;1;veh1210;-250563619#1_1;;;;;;
1266.00;0;truck;1131.00;811.07;;135.00;10.54;tripinfo_truck143 routing_truck143;7.20;-0.16;36.48;33128045#3_1;0.00;44.48;1;truck143;-324751745_1;;;;;;
1267.00;33;passenger;1053.00;1264.14;;214.00;10.30;tripinfo_veh1598 routing_veh1598;5.10;-0.38;70.45;30534063#8_1;0.00;40.44;1;veh1598;237095112#6_1;;;;;;
1268.00;15;passenger;1030.00;2175.21;;238.00;10.17;tripinfo_veh1564 routing_veh1564;5.10;-0.97;43.92;324751741#2_1;0.00;116.15;1;veh1564;31538752#1_1;;;;;;
1269.00;2;passenger;1168.00;649.60;;101.00;11.10;tripinfo_veh1772 routing_veh1772;5.10;-0.08;29.63;-37180296_1;0.00;16.42;1;veh1772;181961191#7_1;;;;;;
1269.00;79;passenger;796.00;4015.27;;473.00;10.39;tripinfo_veh1208 routing_veh1208;5.10;-0.30;160.65;324751763#0_1;0.00;35.55;1;veh1208;324991230_1;;;;;;
1269.00;0;passenger;1185.00;833.14;;84.00;13.70;tripinfo_veh1798 routing_veh1798;5.10;-0.21;15.56;-266666374#1_1;0.00;0.20;1;veh1798;324241989_1;;;;;;
1269.00;6;passenger;1055.00;1475.89;;214.00;12.81;tripinfo_veh1599 routing_veh1599;5.10;0.96;57.06;38923609#0_1;0.00;58.73;1;veh1599;202278347#2_1;;;;;;
1269.00;50;passenger;750.00;6054.70;;519.00;21.39;tripinfo_veh1139 routing_veh1139;5.10;-0.81;120.03;-38060303#3_1;0.00;185.96;1;veh1139;30802013#3_1;;;;;;
1269.00;13;passenger;825.00;5510.51;;444.00;16.30;tripinfo_veh1252 routing_veh1252;5.10;-0.30;86.59;30530313#0_1;0.00;2.02;1;veh1252;33175464#1_0;;;;;;
1270.00;20;passenger;1100.00;1890.93;;170.00;13.38;tripinfo_veh1670 routing_veh1670;0.89;-0.84;45.54;184796749#2_1;0.00;20.77;1;veh1670;-194799780#1_1;;;;;;
1270.00;90;passenger;909.00;2436.44;;361.00;10.39;tripinfo_veh1380 routing_veh1380;5.10;-0.68;148.81;33175462_1;0.00;24.88;1;veh1380;37174473#3_1;;;;;;
1271.00;0;passenger;1131.00;1128.05;;140.00;10.04;tripinfo_veh1717 routing_veh1717;5.10;-0.82;18.09;-324991232_1;0.00;42.74;1;veh1717;29081858#2_1;;;;;;
1271.00;31;passenger;900.00;2625.11;;371.00;10.50;tripinfo_veh1366 routing_veh1366;5.10;-0.45;95.68;37180457_1;0.00;3.66;1;veh1366;182007938#7_1;;;;;;
1274.00;7;passenger;1125.00;1014.96;;149.00;9.96;tripinfo_veh1707 routing_veh1707;5.10;-0.23;37.71;-326910419#2_1;0.00;19.22;1;veh1707;324985138_1;;;;;;
1274.00;25;passenger;856.00;3323.34;;418.00;10.07;tripinfo_veh1300 routing_veh1300;5.10;-0.94;152.33;37180987#6_1;0.00;27.77;1;veh1300;176910631#0_1;;;;;;
1274.00;26;passenger;1013.00;2524.47;;261.00;11.05;tripinfo_veh1538 routing_veh1538;5.10;-0.83;64.16;38923503#6_1;0.00;57.97;1;veh1538;37347754#0_1;;;;;;
1275.00;0;passenger;1085.00;1914.26;;190.00;10.80;tripinfo_veh1646 routing_veh1646;5.10;-0.02;23.91;250563617#1_1;0.00;5.75;1;veh1646;-324041275_1;;;;;;
1277.00;45;passenger;996.00;1702.57;;281.00;9.85;tripinfo_veh1511 routing_veh1511;0.20;-0.03;95.81;37174488#3_1;0.00;56.58;1;veh1511;180762419#0_1;;;;;;
1277.00;40;passenger;931.00;3568.52;;346.00;13.41;tripinfo_veh1413 routing_veh1413;5.10;-0.43;103.95;38923236#1_1;0.00;89.81;1;veh1413;194799781#1_1;;;;;;
1278.00;22;passenger;1017.00;1954.76;;261.00;10.68;tripinfo_veh1543 routing_veh1543;5.10;-0.12;52.79;37503198#1_1;0.00;41.60;1;veh1543;30993435#4_1;;;;;;
1278.00;63;passenger;1045.00;1240.78;;233.00;8.32;tripinfo_veh1586 routing_veh1586;5.10;-0.47;109.78;182007936#4_1;0.00;0.20;1;veh1586;180328743_1;;;;;;
1279.00;0;passenger;1075.00;1637.07;;204.00;10.49;tripinfo_veh1632 routing_veh1632;5.10;-0.79;33.03;-324317862#8_1;0.00;15.97;1;veh1632;-324751734#2_1;;;;;;
1280.00;49;passenger;883.00;4032.02;;397.00;10.84;tripinfo_veh1341 routing_veh1341;5.10;-0.97;114.08;175999131#0_1;0.00;4.08;1;veh1341;-266666424#1_1;;;;;;
1281.00;0;passenger;1164.00;1300.10;;117.00;13.47;tripinfo_veh1764 routing_veh1764;5.10;1.20;17.21;38923503#4_1;0.00;77.82;1;veh1764;180082654_1;;;;;;
1281.00;50;passenger;913.00;1991.10;;368.00;10.58;tripinfo_veh1386 routing_veh1386;5.10;-0.63;147.14;169015057#2_1;0.00;71.34;1;veh1386;37394817#3_1;;;;;;
1282.00;4;passenger;1145.00;1112.80;;137.00;10.99;tripinfo_veh1738 routing_veh1738;0.20;-0.66;28.83;268408771#0_1;0.00;50.24;1;veh1738;30530306#0_1;;;;;;
1283.00;0;passenger;1034.00;2136.97;;249.00;10.75;tripinfo_veh1569 routing_veh1569;5.10;-0.26;33.77;324751749#2_1;0.00;78.67;1;veh1569;175999108#2_1;;;;;;
1283.00;43;passenger;898.00;1892.51;;385.00;2.78;tripinfo_veh1363 routing_veh1363;5.10;-0.47;142.18;-180135573#2_1;0.00;61.61;1;veh1363;-265745121#0_0;;;;;;
1284.00;60;passenger;867.00;5039.37;;417.00;10.21;tripinfo_veh1316 routing_veh1316;5.10;-0.49;102.69;176954470#6_1;0.00;4.87;1;veh1316;30598985#2_1;;;;;;
1285.00;8;passenger;1129.00;1489.58;;156.00;10.06;tripinfo_veh1714 routing_veh1714;5.10;-0.84;35.02;37180725#7_1;0.00;53.85;1;veh1714;30533904#0_1;;;;;;
1285.00;6;passenger;909.00;4549.49;;376.00;10.71;tripinfo_veh1379 routing_veh1379;5.10;-0.02;65.98;29062013#4_1;0.00;400.61;1;veh1379;30616970_1;;;;;;
1286.00;25;passenger;1074.00;1453.19;;212.00;13.26;tripinfo_veh1630 routing_veh1630;5.10;-0.47;60.01;37180459#1_1;0.00;89.57;1;veh1630;-324579709#0_1;;;;;;
1286.00;11;passenger;940.00;3618.30;;346.00;10.81;tripinfo_veh1427 routing_veh1427;5.10;-0.66;78.50;38923503#7_1;0.00;93.49;1;veh1427;-180878327_1;;;;;;
1286.00;166;passenger;677.00;3811.17;;609.00;10.84;tripinfo_veh1028 routing_veh1028;5.10;-0.64;272.59;184162393_1;0.00;77.30;1;veh1028;304398988#1_1;;;;;;
1286.00;8;passenger;1056.00;1884.49;;230.00;2.50;tripinfo_veh1602 routing_veh1602;5.10;-0.01;50.38;177308074#4_1;0.00;19.80;1;veh1602;37180736#2_0;;;;;;
1286.00;148;passenger;892.00;2050.44;;394.00;11.98;tripinfo_veh1354 routing_veh1354;5.10;-0.54;212.28;182857090#0_1;0.00;0.20;1;veh1354;279549603#2_1;;;;;;
1287.00;6;passenger;1132.00;1187.28;;155.00;13.14;tripinfo_veh1718 routing_veh1718;5.10;-0.48;34.49;29081858#0_1;0.00;72.50;1;veh1718;-194799786#0_1;;;;;;
1288.00;32;passenger;1010.00;2018.17;;278.00;10.34;tripinfo_veh1533 routing_veh1533;5.10;-0.53;67.80;30418155#0_1;0.00;47.16;1;veh1533;182857082#2_1;;;;;;
1288.00;67;passenger;1023.00;1436.55;;265.00;13.34;tripinfo_veh1553 routing_veh1553;0.20;-0.71;110.75;37180727#7_1;0.00;90.71;1;veh1553;194799782#1_1;;;;;;
1289.00;44;passenger;1028.00;2769.65;;261.00;6.67;tripinfo_veh1559 routing_veh1559;5.10;0.33;83.28;37383981#1_1;0.00;0.20;1;veh1559;180328743_1;;;;;;
1289.00;0;passenger;1050.00;1697.68;;239.00;10.66;tripinfo_veh1594 routing_veh1594;5.10;-0.74;49.01;175999134_1;0.00;58.08;1;veh1594;33128045#5_1;;;;;;
1290.00;9;passenger;827.00;5015.25;;463.00;9.86;tripinfo_veh1256 routing_veh1256;5.10;-0.94;83.56;324985141_1;0.00;28.16;1;veh1256;180135575_1;;;;;;
1290.00;0;passenger;1225.00;498.36;;65.00;13.81;tripinfo_veh1859 routing_veh1859;5.10;-0.42;13.22;37356160#2_1;0.00;59.31;1;veh1859;-268556971_1;;;;;;
1290.00;69;passenger;946.00;3008.90;;344.00;5.11;tripinfo_veh1436 routing_veh1436;5.10;-0.59;130.56;207175682#0_1;0.00;70.66;1;veh1436;177308057#4_1;;;;;;
1291.00;0;passenger;1187.00;793.36;;104.00;10.47;tripinfo_veh1801 routing_veh1801;5.10;-0.19;17.60;30416739#4_1;0.00;62.92;1;veh1801;324751767#1_1;;;;;;
1292.00;14;passenger;1039.00;2026.78;;253.00;13.52;tripinfo_veh1577 routing_veh1577;5.10;-0.53;40.54;-38044985#6_1;0.00;40.53;1;veh1577;324579709#1_1;;;;;;
1294.00;49;passenger;752.00;3755.18;;542.00;11.09;tripinfo_veh1141 routing_veh1141;5.10;-0.13;138.57;30533523#4_1;0.00;34.43;1;veh1141;171770195#1_1;;;;;;
1294.00;14;passenger;943.00;5050.71;;351.00;10.55;tripinfo_veh1431 routing_veh1431;5.10;-0.29;56.33;-326910419#3_1;0.00;52.48;1;veh1431;32644569#5_1;;;;;;
1294.00;41;passenger;822.00;4084.14;;472.00;9.83;tripinfo_veh1248 routing_veh1248;5.10;-0.66;127.02;324985722#0_1;0.00;59.42;1;veh1248;30533904#2_1;;;;;;
1294.00;4;passenger;921.00;3650.44;;373.00;9.90;tripinfo_veh1398 routing_veh1398;5.10;-0.54;75.80;338958116_1;0.00;76.62;1;veh1398;324751761#4_1;;;;;;
1295.00;112;passenger;920.00;2609.79;;375.00;9.89;tripinfo_veh1396 routing_veh1396;5.10;-0.22;165.35;37180726#2_1;0.00;25.59;1;veh1396;37180987#5_1;;;;;;
1295.00;4;passenger;920.00;2762.42;;375.00;10.82;tripinfo_veh1397 routing_veh1397;5.10;-0.88;74.25;-37501148_1;0.00;30.24;1;veh1397;30533985#1_1;;;;;;
1296.00;13;passenger;1145.00;1064.63;;151.00;10.92;tripinfo_veh1737 routing_veh1737;5.10;0.00;39.26;-324579709#0_1;0.00;7.90;1;veh1737;182857087#3_1;;;;;;
1297.00;1;passenger;1172.00;900.80;;125.00;13.16;tripinfo_veh1778 routing_veh1778;5.10;-0.03;28.56;-38060303#1_1;0.00;12.84;1;veh1778;-266666374#0_1;;;;;;
1300.00;124;truck;727.00;3877.67;;573.00;13.29;tripinfo_truck92 routing_truck92;7.20;-0.74;243.03;230844225_1;0.00;24.14;1;truck92;266658728#1_1;;;;;;
1300.00;0;passenger;1139.00;1953.47;;161.00;6.83;tripinfo_veh1728 routing_veh1728;5.10;-0.07;22.76;324985142#1_1;0.00;0.20;1;veh1728;180328743_1;;;;;;
1300.00;16;passenger;881.00;4580.49;;419.00;10.46;tripinfo_veh1337 routing_veh1337;5.10;-0.33;85.11;38923503#4_1;0.00;60.85;1;veh1337;176906141#6_2;;;;;;
1300.00;0;passenger;1179.00;878.72;;121.00;12.73;tripinfo_veh1790 routing_veh1790;5.10;-0.94;23.67;38060305#4_1;0.00;84.46;1;veh1790;205013607#1_1;;;;;;
1300.00;3;passenger;858.00;4617.40;;442.00;10.89;tripinfo_veh1303 routing_veh1303;5.10;-0.92;80.36;37180981#1_1;0.00;114.98;1;veh1303;30418155#3_1;;;;;;
1301.00;0;passenger;1133.00;1246.53;;168.00;10.75;tripinfo_veh1719 routing_veh1719;5.10;-0.14;33.09;268556971_1;0.00;36.88;1;veh1719;30416743#6_1;;;;;;
